n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
312,10,1565,8.1630998,13.826101,18.599842,4.1105847,0.26553273,0.24130797
313,10,1570,8.1630236,13.826564,18.583302,4.0975678,0.26553301,0.24130822
314,10,1575,8.1630148,13.827023,18.566853,4.084633,0.26553329,0.24130846
315,10,1580,8.1630725,13.827481,18.550494,4.0717796,0.26553357,0.24130871
316,10,1585,8.1631957,13.827936,18.534224,4.0590069,0.26553384,0.24130895
317,10,1590,8.1633836,13.828388,18.518043,4.046314,0.26553412,0.24130919
318,10,1595,8.1636351,13.828838,18.501949,4.0337002,0.26553439,0.24130943
319,10,1600,8.1639494,13.829286,18.485943,4.0211649,0.26553466,0.24130966
320,10,1605,8.1643255,13.829732,18.470023,4.0087072,0.26553493,0.2413099
321,10,1610,8.1647626,13.830175,18.45419,3.9963264,0.2655352,0.24131013
322,10,1615,8.1652597,13.830615,18.438441,3.9840219,0.26553547,0.24131036
323,10,1620,8.1658161,13.831054,18.422778,3.9717929,0.26553573,0.24131059
324,10,1625,8.1664309,13.83149,18.407198,3.9596388,0.26553599,0.24131082
325,10,1630,8.1671031,13.831924,18.391702,3.9475589,0.26553626,0.24131105
326,10,1635,8.167832,13.832355,18.376288,3.9355524,0.26553652,0.24131128
327,10,1640,8.1686168,13.832785,18.360956,3.9236187,0.26553678,0.2413115
328,10,1645,8.1694565,13.833212,18.345706,3.9117572,0.26553703,0.24131173
329,10,1650,8.1703506,13.833637,18.330537,3.8999672,0.26553729,0.24131195
330,10,1655,8.171298,13.834059,18.315448,3.8882481,0.26553754,0.24131217
331,10,1660,8.1722981,13.83448,18.300439,3.8765992,0.26553779,0.24131239
332,10,1665,8.17335,13.834898,18.285509,3.8650199,0.26553805,0.24131261
333,10,1670,8.1744531,13.835315,18.270658,3.8535096,0.26553829,0.24131283
334,10,1675,8.1756065,13.835729,18.255884,3.8420677,0.26553854,0.24131304
335,10,1680,8.1768096,13.836141,18.241188,3.8306935,0.26553879,0.24131326
336,10,1685,8.1780615,13.836551,18.226568,3.8193865,0.26553903,0.24131347
337,10,1690,8.1793615,13.836959,18.212025,3.808146,0.26553928,0.24131368
338,10,1695,8.180709,13.837365,18.197558,3.7969716,0.26553952,0.24131389
339,10,1700,8.1821032,13.837768,18.183165,3.7858625,0.26553976,0.2413141
340,10,1705,8.1835434,13.83817,18.168847,3.7748183,0.26554,0.24131431
341,10,1710,8.1850289,13.83857,18.154604,3.7638384,0.26554024,0.24131452
342,10,1715,8.1865591,13.838968,18.140433,3.7529221,0.26554048,0.24131472
343,10,1720,8.1881333,13.839363,18.126336,3.742069,0.26554071,0.24131493
344,10,1725,8.1897508,13.839757,18.112311,3.7312786,0.26554095,0.24131513
345,10,1730,8.1914109,13.840149,18.098358,3.7205502,0.26554118,0.24131533
346,10,1735,8.1931131,13.840539,18.084476,3.7098834,0.26554141,0.24131554
347,10,1740,8.1948566,13.840927,18.070665,3.6992775,0.26554164,0.24131574
348,10,1745,8.1966409,13.841313,18.056925,3.6887322,0.26554187,0.24131593
349,10,1750,8.1984653,13.841697,18.043254,3.6782468,0.2655421,0.24131613
350,10,1755,8.2003292,13.842079,18.029653,3.667821,0.26554232,0.24131633
